year,bimonth,enso
1998,novdec,-0.922
1999,novdec,-1.161
2000,novdec,-0.566
2001,novdec,0.019
2002,novdec,1.145
2003,novdec,0.351
2004,novdec,0.667
2005,novdec,-0.57
2006,novdec,0.951
2007,novdec,-1.193
2008,novdec,-0.663
2009,novdec,1.045
2010,novdec,-1.577
2011,novdec,-0.957
2012,novdec,0.094
2013,novdec,-0.248
2014,novdec,0.558
2015,novdec,2.112
2016,novdec,-0.121
